"Amount of times to retry a failed job. '0' disables this feature.","Número de vezes para retentar um job falho. '0' desabilita esse recurso."
"Auto-retry amount","Número de retentativas"
"Delete lockfile older than ___ hour(s)","Excluir lockfile se tiver mais que __ hora(s)"
"Executed At","Executado em"
"Group","Grupo"
"Keep failed jobs for ___ days","Manter jobs falhos por ___ dias"
"Keep success jobs for ___ days","Manter jobs bem-sucedidos por ___ dias"
"Mass Retry","Retentativa em massa"
"Parameters","Parâmetros"
"Queue Management - Message #%1","Gerenciamento de Fila - Mensagem #%1"
"Queue Management","Gerenciamento de Fila"
"Queue","Fila"
"Queued At","Enfileirado em"
"Retry","Tentar Novamente"
"Tries","Tentativas"
